"name","parent","type","size"
"D:\Documents\GB\python_spec\.git\objects\23\d11c78c7c3be4c0869762c1c71ebaca3d3437f","D:\Documents\GB\python_spec\.git\objects\23","file",107
"D:\Documents\GB\python_spec\.git\objects\24","D:\Documents\GB\python_spec\.git\objects","dir",475
"D:\Documents\GB\python_spec\.git\objects\24\9e2be62d5965b9c463825124c7436beac31f1f","D:\Documents\GB\python_spec\.git\objects\24","file",475
"D:\Documents\GB\python_spec\.git\objects\25","D:\Documents\GB\python_spec\.git\objects","dir",408
"D:\Documents\GB\python_spec\.git\objects\25\169dfa08585946402a60c0dd63c4d21d89d17d","D:\Documents\GB\python_spec\.git\objects\25","file",408
"D:\Documents\GB\python_spec\.git\objects\26","D:\Documents\GB\python_spec\.git\objects","dir",340
"D:\Documents\GB\python_spec\.git\objects\26\6677471693384e221336f4b8f82fd0b6765623","D:\Documents\GB\python_spec\.git\objects\26","file",165
"D:\Documents\GB\python_spec\.git\objects\26\809258257280341fe2e7c95e2af46c0ac3e09f","D:\Documents\GB\python_spec\.git\objects\26","file",175
"D:\Documents\GB\python_spec\.git\objects\28","D:\Documents\GB\python_spec\.git\objects","dir",461
"D:\Documents\GB\python_spec\.git\objects\28\d4d797dcbd7ea4ec8c496901fa24e18d11cc0e","D:\Documents\GB\python_spec\.git\objects\28","file",461
"D:\Documents\GB\python_spec\.git\objects\2a","D:\Documents\GB\python_spec\.git\objects","dir",433
"D:\Documents\GB\python_spec\.git\objects\2a\083168f95baa7a449776700fb811255032b5ed","D:\Documents\GB\python_spec\.git\objects\2a","file",433
"D:\Documents\GB\python_spec\.git\objects\2b","D:\Documents\GB\python_spec\.git\objects","dir",163
"D:\Documents\GB\python_spec\.git\objects\2b\88e6cd36e0b416a4f8f0b15d192f433238daa1","D:\Documents\GB\python_spec\.git\objects\2b","file",163
"D:\Documents\GB\python_spec\.git\objects\2c","D:\Documents\GB\python_spec\.git\objects","dir",4907
"D:\Documents\GB\python_spec\.git\objects\2c\b7ad9dc0a329c53627f772a0a279f4a6e64b5d","D:\Documents\GB\python_spec\.git\objects\2c","file",4907
"D:\Documents\GB\python_spec\.git\objects\2d","D:\Documents\GB\python_spec\.git\objects","dir",199
"D:\Documents\GB\python_spec\.git\objects\2d\81c2aba8cf07a9d3425ef8b859489e78abe36a","D:\Documents\GB\python_spec\.git\objects\2d","file",53
"D:\Documents\GB\python_spec\.git\objects\2d\ba02344a056bb4647ae4f50c84ee379647e929","D:\Documents\GB\python_spec\.git\objects\2d","file",146
"D:\Documents\GB\python_spec\.git\objects\2e","D:\Documents\GB\python_spec\.git\objects","dir",625
